,Unnamed: 0,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
232,232,1.23,0.84,1.6949999999999998,645,1
233,233,1.05,0.75,705,735,2
234,234,1.23,0.84,1095,945,2
235,235,0.8099999999999999,0.63,1035,1395,2
236,236,1.5,975,1.05,2.04,3
237,237,0.32999999999999996,0.39,1095,1515,2
238,238,0.42,435,0.63,1.68,2
239,239,1.41,0.9299999999999999,1.9349999999999998,1.9349999999999998,0
240,240,1.2,825,0.8999999999999999,1.8599999999999999,3
241,241,0.32999999999999996,0.39,975,1065,2
242,242,0.84,645,1.2,1.8599999999999999,3
243,243,0.84,645,0.99,1.65,3
244,244,0.32999999999999996,0.39,825,1125,2
245,245,0.84,645,1.2,1.5,2
246,246,1.2,825,0.96,2.04,3
247,247,1.2,825,0.99,1.71,3
248,248,0.84,645,1.2,1.1099999999999999,2
249,249,0.84,645,1.8599999999999999,1.38,1
250,250,0.84,645,1.5899999999999999,1.08,1
251,251,0.63,0.5549999999999999,1155,435,2
252,252,0.42,0.44999999999999996,1.05,1.5,2
253,253,0.57,525,525,525,2
254,254,1.47,975,975,1815,3
255,255,1.05,765,1.7249999999999999,1065,1
256,256,0.54,0.51,0.87,0.6,2
257,257,1.02,0.75,1.77,1.44,1
258,258,0.75,615,1785,525,1
259,259,0.84,0.6749999999999999,1.23,0.48,2
260,260,0.32999999999999996,0.42,1005,1635,2
261,261,0.32999999999999996,0.42,1065,1575,2
262,262,1.17,855,2025,1095,1
263,263,0.54,0.54,0.78,0.8999999999999999,2
264,264,0.96,0.75,0.78,1.5899999999999999,3
265,265,0.9299999999999999,735,1065,1185,2
266,266,0.84,0.69,1.47,1.74,3
267,267,0.54,0.54,1.26,1.29,2
268,268,0.42,0.48,0.32999999999999996,1.17,2
269,269,1.6199999999999999,1.08,2.01,1.5,1
270,270,0.57,0.5549999999999999,1005,1785,2
271,271,0.42,0.48,0.8099999999999999,1.02,2
272,272,0.63,0.6,0.6749999999999999,1605,2
273,273,0.32999999999999996,0.44999999999999996,1005,1065,2
274,274,1.17,0.87,825,1515,3
275,275,0.75,0.6599999999999999,375,1605,2
276,276,1.29,0.9299999999999999,1.6949999999999998,0.6749999999999999,1
277,277,0.6599999999999999,615,1.56,0.69,2
278,278,1.26,0.9149999999999999,0.87,1.6199999999999999,3
279,279,1.53,1.05,2.0549999999999997,2175,0
280,280,1.05,0.8099999999999999,1065,1515,3
281,281,0.96,765,1.6199999999999999,1.29,1
282,282,0.96,765,0.48,0.54,2
283,283,0.75,0.6599999999999999,1755,1035,1
284,284,0.42,495,0.27,0.24,2
285,285,0.42,495,0.24,0.63,2
286,286,1.38,975,2.04,0.99,1
287,287,0.63,0.6,0.5549999999999999,1.2449999999999999,2
288,288,0.87,0.72,1.7249999999999999,1335,1
289,289,0.63,0.6,1425,315,2
290,290,0.8099999999999999,0.69,645,1035,2
291,291,0.54,0.5549999999999999,1.26,0.36,2
292,292,0.75,0.6599999999999999,1515,1395,1
293,293,0.84,705,1.38,1.47,2
294,294,0.63,0.6,1275,315,2
295,295,1.1099999999999999,0.84,885,1605,3
296,296,0.75,0.6599999999999999,1035,1395,2
297,297,0.21,0.40499999999999997,645,1395,2
298,298,0.8999999999999999,0.75,1.14,1.68,3
299,299,0.36,0.48,1.44,0.69,2
300,300,0.6599999999999999,0.63,0.32999999999999996,1.5,2
301,301,0.75,0.6749999999999999,945,945,2
302,302,1.56,1.08,2.13,1.77,0
303,303,0.32999999999999996,0.46499999999999997,285,1065,2
304,304,0.8099999999999999,705,1.2449999999999999,1095,2
305,305,0.75,0.6749999999999999,1005,1875,3
306,306,0.8999999999999999,0.75,0.72,1.65,3
307,307,0.63,615,1635,1515,1
308,308,2.07,1335,1815,1845,0
309,309,0.75,0.6749999999999999,1065,1.4549999999999998,2
310,310,0.0,0.3,1.02,0.44999999999999996,2
311,311,0.63,615,525,735,2
312,312,0.63,0.63,1605,825,2
313,313,0.75,0.69,1515,1.4549999999999998,1
314,314,1.5,1065,2.19,2.16,0
315,315,0.51,0.57,1.2149999999999999,1425,2
316,316,0.75,0.69,615,1635,2
317,317,0.32999999999999996,0.48,735,1.4849999999999999,2
318,318,1.8599999999999999,1.2449999999999999,0.9299999999999999,2.01,3
319,319,0.84,735,0.51,1.5899999999999999,2
