,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
2038,0.18,0.216,0.39,0.228,1
2039,0.132,0.192,0.306,0.186,1
2040,0.366,0.309,0.219,0.483,0
2041,0.246,0.249,0.195,0.387,3
2042,0.18,0.216,0.12,0.198,2
2043,0.18,0.216,0.132,0.39,3
2044,0.24,0.246,0.336,0.36,3
2045,0.21,0.231,0.243,0.34500000000000003,3
2046,0.156,0.20400000000000001,0.222,0.264,2
2047,0.126,0.189,0.261,0.08700000000000001,2
2048,0.27,0.261,0.429,0.417,0
2049,0.126,0.189,0.075,0.363,3
2050,0.15,0.201,0.279,0.315,3
2051,0.228,0.24,0.354,0.252,1
2052,0.126,0.189,0.213,0.189,2
2053,0.222,0.23700000000000002,0.20700000000000002,0.177,2
2054,0.252,0.252,0.324,0.252,1
2055,0.318,0.28500000000000003,0.435,0.447,0
2056,0.09,0.171,0.225,0.339,2
2057,0.09,0.171,0.123,0.249,2
2058,0.192,0.222,0.36,0.138,1
2059,0.066,0.159,0.123,0.195,2
2060,0.36,0.306,0.216,0.306,3
2061,0.33,0.291,0.465,0.195,1
2062,0.324,0.28800000000000003,0.312,0.354,0
2063,0.066,0.159,0.273,0.045,2
2064,0.15,0.201,0.093,0.201,2
2065,0.28200000000000003,0.267,0.339,0.417,0
2066,0.084,0.168,0.10200000000000001,0.084,2
2067,0.186,0.219,0.333,0.327,1
2068,0.084,0.168,0.3,0.336,3
2069,0.354,0.303,0.20700000000000002,0.417,3
2070,0.258,0.255,0.303,0.261,1
2071,0.198,0.225,0.225,0.243,2
2072,0.15,0.201,0.225,0.129,2
2073,0.228,0.24,0.246,0.294,3
2074,0.21,0.231,0.291,0.111,1
2075,0.258,0.255,0.189,0.399,3
2076,0.21,0.231,0.231,0.111,2
2077,0.108,0.18,0.258,0.156,2
2078,0.15,0.201,0.159,0.189,2
2079,0.228,0.24,0.354,0.246,1
2080,0.192,0.222,0.354,0.28800000000000003,1
2081,0.186,0.219,0.165,0.129,2
2082,0.21,0.231,0.399,0.183,1
2083,0.21,0.231,0.159,0.129,2
2084,0.186,0.219,0.309,0.159,1
2085,0.15,0.201,0.075,0.183,2
2086,0.24,0.246,0.33,0.366,3
2087,0.294,0.273,0.309,0.387,0
2088,0.198,0.225,0.147,0.297,3
2089,0.156,0.20400000000000001,0.378,0.34800000000000003,1
2090,0.10200000000000001,0.177,0.321,0.213,1
2091,0.15,0.201,0.153,0.279,2
2092,0.15,0.201,0.177,0.231,2
2093,0.078,0.165,0.183,0.063,2
2094,0.15,0.201,0.327,0.165,1
2095,0.222,0.23700000000000002,0.405,0.35100000000000003,1
2096,0.336,0.294,0.438,0.222,1
2097,0.108,0.18,0.33,0.3,1
2098,0.20400000000000001,0.228,0.384,0.10200000000000001,1
2099,0.192,0.222,0.384,0.20400000000000001,1
2100,0.108,0.18,0.222,0.162,2
2101,0.192,0.222,0.276,0.216,1
2102,0.192,0.222,0.252,0.366,3
2103,0.234,0.243,0.393,0.309,1
2104,0.17400000000000002,0.213,0.093,0.231,2
2105,0.216,0.234,0.246,0.318,3
2106,0.234,0.243,0.291,0.381,3
2107,0.156,0.20400000000000001,0.084,0.132,2
2108,0.41400000000000003,0.333,0.441,0.363,0
2109,0.15,0.201,0.123,0.171,2
2110,0.192,0.222,0.162,0.39,3
2111,0.192,0.222,0.216,0.108,2
2112,0.318,0.28500000000000003,0.315,0.369,0
2113,0.3,0.276,0.402,0.354,0
2114,0.17400000000000002,0.213,0.279,0.267,1
2115,0.168,0.21,0.096,0.228,2
2116,0.234,0.243,0.159,0.405,3
2117,0.21,0.231,0.405,0.381,1
2118,0.12,0.189,0.114,0.09,2
2119,0.192,0.225,0.18,0.312,3
2120,0.138,0.198,0.183,0.267,2
2121,0.192,0.225,0.20400000000000001,0.114,2
2122,0.138,0.198,0.303,0.165,1
2123,0.18,0.219,0.216,0.15,2
2124,0.28800000000000003,0.273,0.41400000000000003,0.264,1
2125,0.276,0.267,0.372,0.14400000000000002,1
2126,0.27,0.264,0.321,0.279,1
2127,0.17400000000000002,0.216,0.111,0.273,2
2128,0.12,0.189,0.294,0.264,1
2129,0.156,0.20700000000000002,0.222,0.294,3
2130,0.15,0.20400000000000001,0.225,0.111,2
2131,0.264,0.261,0.132,0.41400000000000003,3
2132,0.336,0.297,0.34800000000000003,0.42,0
2133,0.21,0.234,0.273,0.147,1
2134,0.258,0.258,0.231,0.357,3
2135,0.264,0.261,0.27,0.258,1
2136,0.264,0.261,0.28200000000000003,0.156,1
2137,0.126,0.192,0.321,0.321,1
2138,0.24,0.249,0.252,0.252,3
2139,0.168,0.213,0.252,0.156,2
2140,0.168,0.213,0.324,0.096,1
2141,0.168,0.213,0.21,0.10200000000000001,2
2142,0.168,0.213,0.354,0.186,1
2143,0.168,0.213,0.252,0.378,3
2144,0.168,0.213,0.108,0.24,2
2145,0.15,0.20400000000000001,0.08700000000000001,0.111,2
2146,0.168,0.213,0.156,0.15,2
2147,0.15,0.20400000000000001,0.123,0.333,3
2148,0.258,0.258,0.249,0.321,3
2149,0.15,0.20400000000000001,0.23700000000000002,0.261,2
2150,0.456,0.357,0.34800000000000003,0.27,0
2151,0.15,0.20400000000000001,0.075,0.213,2
2152,0.222,0.24,0.231,0.381,3
2153,0.126,0.192,0.183,0.231,2
2154,0.192,0.225,0.384,0.28800000000000003,1
2155,0.18,0.219,0.258,0.20400000000000001,2
2156,0.126,0.192,0.267,0.303,2
2157,0.21,0.234,0.123,0.111,2
2158,0.084,0.171,0.066,0.318,2
2159,0.126,0.192,0.183,0.219,2
2160,0.168,0.213,0.096,0.216,2
2161,0.17400000000000002,0.216,0.177,0.183,2
2162,0.234,0.246,0.249,0.375,3
2163,0.17400000000000002,0.216,0.14100000000000001,0.14100000000000001,2
2164,0.378,0.318,0.47100000000000003,0.357,0
2165,0.306,0.28200000000000003,0.171,0.171,3
2166,0.192,0.225,0.10200000000000001,0.36,3
2167,0.15,0.20400000000000001,0.267,0.099,2
