,softwareUnderstanding,understandingConcepts,practiceSM,testSM,tipo_estudante
7490,36,55.5,37.0,36.0,3
7491,63,69.0,46.5,52.5,0
7492,23,49.0,17.5,36.5,2
7493,56,65.5,60.0,69.0,0
7494,57,66.0,60.5,42.5,0
7495,57,66.0,70.5,41.5,0
7496,62,68.5,71.0,65.0,0
7497,62,68.5,38.0,63.0,0
7498,32,53.5,27.0,33.0,2
7499,57,66.0,47.5,59.5,0
7500,32,53.5,16.0,20.0,2
7501,37,56.0,55.5,67.5,0
7502,41,58.0,48.5,27.5,1
7503,37,56.0,26.5,32.5,3
7504,57,66.0,61.5,31.5,0
7505,62,68.5,51.0,55.0,0
7506,37,56.0,54.5,29.5,1
7507,37,56.0,40.5,46.5,3
7508,40,57.5,53.0,44.0,1
7509,37,56.0,57.5,34.5,1
7510,40,57.5,41.0,41.0,3
7511,27,51.0,16.5,58.5,3
7512,61,68.0,40.5,61.5,0
7513,40,57.5,67.0,44.0,1
7514,37,56.0,54.5,52.5,1
7515,81,78.0,72.5,68.5,0
7516,37,56.0,54.5,62.5,3
7517,26,50.5,41.0,37.0,1
7518,40,57.5,57.0,29.0,1
7519,58,66.5,42.0,60.0,0
7520,38,56.5,40.0,50.0,3
7521,58,66.5,46.0,31.0,1
7522,38,56.5,48.0,59.0,3
7523,32,53.5,55.0,28.0,1
7524,40,57.5,48.0,45.0,1
7525,26,50.5,47.0,26.0,1
7526,58,66.5,61.0,61.0,0
7527,25,50.0,59.5,15.5,1
7528,40,57.5,25.0,68.0,3
7529,38,56.5,61.0,23.0,1
7530,32,53.5,51.0,29.0,1
7531,59,67.0,63.5,60.5,0
7532,60,67.5,49.0,80.0,0
7533,40,57.5,33.0,59.0,3
7534,69,72.5,79.5,79.5,0
7535,21,48.5,55.5,47.5,1
7536,35,55.5,24.5,28.5,2
7537,28,52.0,48.0,38.0,1
7538,28,52.0,36.0,57.0,3
7539,28,52.0,24.0,53.0,3
7540,21,48.5,23.5,26.5,2
7541,63,69.5,32.5,71.5,0
7542,53,64.5,47.5,61.5,0
7543,34,55.0,61.0,26.0,1
7544,32,54.0,42.0,28.0,1
7545,68,72.0,54.0,70.0,0
7546,50,63.0,44.0,63.0,0
7547,45,60.5,48.5,42.5,1
7548,56,66.0,77.0,61.0,0
7549,28,52.0,41.0,16.0,2
7550,47,61.5,57.5,31.5,1
7551,23,49.5,44.5,39.5,1
7552,28,52.0,60.0,26.0,1
7553,45,60.5,54.5,28.5,1
7554,45,60.5,45.5,65.5,3
7555,48,62.0,36.0,68.0,3
7556,68,72.0,71.0,51.0,0
7557,56,66.0,55.0,53.0,0
7558,53,64.5,62.5,37.5,0
7559,68,72.0,68.0,79.0,0
7560,48,62.0,54.0,49.0,0
7561,46,61.0,57.0,36.0,1
7562,33,54.5,50.5,61.5,3
7563,52,64.0,29.0,56.0,3
7564,50,63.0,61.0,50.0,0
7565,57,66.5,44.5,66.5,0
7566,81,78.5,42.5,64.5,0
7567,57,66.5,69.5,58.5,0
7568,23,49.5,40.5,47.5,3
7569,84,80.0,59.0,58.0,0
7570,33,54.5,60.5,29.5,1
7571,50,63.0,72.0,38.0,0
7572,62,69.0,78.0,59.0,0
7573,50,63.0,48.0,58.0,0
7574,52,64.0,46.0,26.0,1
7575,57,66.5,76.5,73.5,0
7576,29,52.5,20.5,44.5,3
7577,62,69.0,70.0,57.0,0
7578,39,57.5,22.5,27.5,2
7579,71,73.5,73.5,35.5,0
7580,46,61.0,64.0,44.0,0
7581,40,58.0,56.0,66.0,0
7582,19,47.5,36.5,23.5,2
7583,57,66.5,69.5,71.5,0
7584,61,68.5,74.5,77.5,0
7585,71,73.5,84.5,45.5,0
7586,37,56.5,62.5,63.5,0
7587,25,50.5,34.5,58.5,3
7588,51,63.5,25.5,73.5,3
7589,81,78.5,51.5,60.5,0
7590,47,61.5,63.5,58.5,0
7591,50,63.0,43.0,53.0,0
7592,47,61.5,43.5,71.5,0
7593,60,68.0,35.0,79.0,0
7594,47,61.5,53.5,50.5,0
7595,37,56.5,47.5,30.5,1
7596,29,52.5,49.5,31.5,1
7597,58,67.0,51.0,62.0,0
7598,51,63.5,58.5,69.5,0
7599,74,75.0,85.0,75.0,0
7600,74,75.0,74.0,42.0,0
